Level,Tiêu đề test/ Chi tiết test,Đối tượng test,Lưu ý khi ghi testcase,Ví dụ cách viết testcase (Tiếng Việt),,
1,"Format của data (format date, date time, giá trị số.v.v.) trả về phải đúng theo thiết kế.",Hạng mục cần format,Giống với bên testcase màn hình,Bình thường,Chi tiết response phải đúng,"〇: Trả về dưới dạng yyyy/mm/dd hh:mm
✖: Hiển thị dưới dạng yyyy/mm/dd hh:mm"
-,Response của API sau khi convert source (từ ngôn ngữ này sang ngôn ngữ khác) phải trả về đầy đủ,Tất cả API,"- Áp dụng đối với dự án chỉ yêu cầu convert source mà không có spec-change gì khác.
- Sử dụng công cụ diff checker (ví dụ: https://www.diffchecker.com) để so sánh response giữa API trước khi convert và sau khi convert.
- Chỉ tập trung vào phần response body, không cần so sánh header hoặc status code nếu không thay đổi.
- Đảm bảo sau khi convert, tất cả các parameter trả về đều giống với trước khi convert.",Bình thường,Chi tiết response phải đúng,"Response sau khi convert được trả về giống với response trước khi convert.
"
,Xác nhận control,,,,,
1,Trường hợp insert: xử lý đăng ký phải được tiến hành đúng trong Table và field.,API có lưu DB,Giống với bên testcase màn hình,Bình thường,Xử lý đăng ký phải được tiến hành đúng trong table và field,"〇: Xử lý đăng ký phải được tiến hành đúng vào table user
※Chi tiết tham chiếu test case bên dưới"
,,,,Bình thường,Giá trị lưu DB phải đúng,"〇: params:userName
〇: params:userNameが格納されること
〇: (変更なし)
〇: NULL
✖: 該当値
✖: 該当値が格納されること"
1,Trường hợp update: xử lý update phải được tiến hành đúng trong Table và field.,,,Bình thường,Xử lý cập nhật phải được tiến hành đúng trong table và field,"〇: Xử lý cập nhật phải được tiến hành đúng vào table user
※Chi tiết tham chiếu test case bên dưới"
1,Trường hợp delete: xử lý xóa (xóa cứng hoặc xóa mềm) phải được tiến hành đúng trong Table và field.,,,Bình thường,Xử lý xóa logic phải được tiến hành đúng trong table và field,"〇: Xoá logic phải được tiến hành đúng trong table user
※Chi tiết tham chiếu test case bên dưới"
,,,,Bình thường,Xử lý xóa vật lý phải được tiến hành đúng trong table và field,〇: Xoá vật lý phải được tiến hành đúng trong table user
,Xác nhận chức năng search,,,,,
1,Thứ tự sort của data trả về phải đúng theo thiết kế.,API search,Giống với bên testcase màn hình,Bình thường,Thứ tự sort của data trả về phải đúng,"〇: Trả về theo thứ tự section.sort tăng dần
✖: Sort bằng section.sort
✖: Hiển thị theo thứ tự section.sort tăng dần"
1,Xác nhận kết quả search có đúng không khi không nhập gì,,,Bình thường,Xác nhận kết quả search có đúng không khi không nhập gì,〇: Get tất cả các record user có user.deletedAt = NULL
1,"Trường hợp get(search): search từng hạng mục, kết quả search phải đúng với nội dung trong DB",,,Bình thường,"Search từng hạng mục, kết quả search phải đúng với nội dung trong DB",〇: Get các record user có user.userName = Giá trị nhập ở [ユーザ名]
1,Trường hợp get(search): xử lý search giống toàn bộ hoặc search like phải được thực hiện đúng.,,,Bình thường,Xử lý search giống toàn bộ hoặc search like phải được thực hiện đúng,"〇: Xử lý search giống toàn bộ phải thực hiện đúng
〇: Xử lý search like phải thực hiện đúng
✖: Xử lý search giống toàn bộ hoặc search like phải thực hiện đúng"
1,"Trường hợp get(search): xử lý search ""and"" hoặc ""or"" phải được thực hiện đúng.",,,Bình thường,"Xử lý search ""and"" hoặc ""or"" phải được thực hiện đúng.","〇: Xử lý search ""and"" phải được thực hiện đúng
〇: Xử lý search ""or"" phải được thực hiện đúng
✖: Xử lý search ""and"" hoặc ""or"" phải được thực hiện đúng"
1,Xác nhận response khi 0 record,,,Bình thường,Kết quả search là 0 record phải xử lý đúng,"〇: Trả về INFO ""指定された条件に該当するデータが存在しません。入力内容を確認してください。"""
,Khác,,,,,
1,Gọi API có xuất log hay không phải đúng như thiết kế.,Có spec xuất log,"- Ghi tách ra nhiều case kiểm tra log: thư mục chứa log, tên file log, mức độ log, hình thức log... Chi tiết xem bên dưới",Bình thường,Xử lý xuất log phải thực hiện đúng,-
,Xuất Log API,,,,,
1,Thời điểm xuất log phải đúng như thiết kế. ,Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng",Bình thường,Thời điểm xuất log phải đúng,〇: Log được xuất khi nhận request
1,"File log xuất ra đặt tên phải đúng như thiết kế. 
※Thông thường tên file log đặt bằng chữ số latinh, trường hợp đặt tên bằng tiếng Nhật có khi bị bể chữ.",Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng",Bình thường,File log xuất ra đặt tên phải đúng,〇: Tên file log xuất ra là application.log
1,Tên thư mục chứa log phải đúng như thiết kế. ,Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng",Bình thường,Tên thư mục chứa log phải đúng,"〇: File log được xuất ra nằm trong thư mục ""logs"""
1,Đường dẫn thư mục chứa log phải đúng như thiết kế. ,Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng",Bình thường,Đường dẫn thư mục chứa log phải đúng,〇: app/tmp/logs/(tên file log)
1,Xuất log phân ra theo ngày hay gộp chung 1 file log thì phải đúng như thiết kế. ,Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng",Bình thường,"Xuất log phân ra theo ngày
hoặc
Xuất log gộp chung 1 file","〇: app/tmp/logs/yyyymmdd/(tên file log)
〇: app/tmp/logs/applicationyyyymmdd.log
〇: app/tmp/logs/application.log "
1,"Hình thức xuất log phải đúng như thiết kế. 
※Ví dụ: [Timestamp][Cấp độ log][IP][session ID][User ID][Nội dung]",Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng",Bình thường,Hình thức xuất log phải đúng,"〇: 2022/12/12 02:45:59 [error] 10079#10079: 432429 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 118.69.72.236, server: 18.180.183.98, request: ""POST /car/22648/edit HTTP/1.1"""
1,"Cấp độ log phải đúng như thiết kế.
※Ví dụ: ERROR, WARNING",Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng
- Cần chia nhỏ case theo từng cấp độ:  
FATAL
ERROR
WARNING
INFO
DEBUG",Bình thường,"Cấp độ log FATAL
Cấp độ log ERROR
Cấp độ log WARNING
Cấp độ log INFO
Cấp độ log DEBUG","〇: 2022/12/12 02:45:59 [fatal] .....
〇: 2022/12/12 02:45:59 [error] .....
〇: 2022/12/12 02:45:59 [warning] .....
〇: 2022/12/12 02:45:59 [info] .....
〇: 2022/12/12 02:45:59 [debug] ....."
1,"Nội dung log phải đúng như thiết kế.
※Ví dụ: [Đã cập nhật request của API]",Có spec xuất log,"- Spec xuất log thường ghi trong tài liệu thiết kế common, cần tham khảo thiết kế common mục xuất log của API để ghi test-case cho đúng",Bình thường,Nội dung log phải đúng,〇: システムエラーが発生しました BATCH03
