,,,,,,,,,,,,,,,,,,,
,Tên kế hoạch test,projectCreate - EXAMPLE,,,,,,,,,,,,,,,,,
22,projectCreate,Bất thường,Check size,customerSectionName,> 100 ký tự,-,"Status: 422 Unprocessable Entity
{
　""errors"": [
　　""顧客担当部署名は100文字以内で入力してください""
　]
}",,,,,,,,,,,,
23,projectCreate,Bất thường,Response phải đúng,Response,-,customer.approvalFlag = 0 với customer có id = Parameter:customerId,"Status: 400 Bad Request
{
　""errors"": [
　　""未承認の顧客は登録できません。""
　]
}",,,,,,,,,,,,
24,projectCreate,Bất thường,Response phải đúng,Response,-,"1/ customer có id = Param:customerId AND type =1
2/ [Parameters].[deliveryStaffType] = 2","Status: 400 Bad Request
{
　""errors"": [
　　""顧客種別と配送区分の組み合わせが正しくありません。""
　]
}",,,,,,,,,,,,
25,projectCreate,Bị kiểm tra lỗi DB,Response phải đúng,Response,-,Param:customerId != customerStaff.customerId với customerStaff.id = Param:customerStaffId,"Status: 500 Internal Server Error
{
　""message"": [
　　""ERROR""
　]
}",,,,,,,,,,,,
26,projectCreate,Bình thường,Response phải đúng,Response,-,Không xảy ra lỗi bên trên,"Status: 201 Created
{
   ""id"": project.id vừa tạo
}",,,,,,,,,,,,
27,projectCreate,Bình thường,Xử lý đăng ký phải được tiến hành đúng trong table và field,Xử lý lưu DB,-,-,"Xử lý đăng ký phải được tiến hành đúng vào table project
※Chi tiết tham chiếu test case bên dưới",,,,,,,,,,,,
28,Bảng project,Bình thường,Giá trị lưu DB phải đúng,id,-,-,auto increment,,,,,,,,,,,,
29,Bảng project,Bình thường,Giá trị lưu DB phải đúng,orderDate,-,-,orderDate,,,,,,,,,,,,
30,Bảng project,Bình thường,Giá trị lưu DB phải đúng,deliveryDate,-,-,deliveryDate,,,,,,,,,,,,
31,Bảng project,Bình thường,Giá trị lưu DB phải đúng,customerId,-,-,customerId,,,,,,,,,,,,
32,Bảng project,Bình thường,Giá trị lưu DB phải đúng,deliveryStaffType,[userFlag] (của login user) != 11 AND 12,-,deliveryStaffType,,,,,,,,,,,,
33,Bảng project,Bình thường,Giá trị lưu DB phải đúng,createdAt,-,-,System datetime (JST),,,,,,,,,,,,
34,Bảng project,Bình thường,Giá trị lưu DB phải đúng,createdBy,-,-,user.id của login user,,,,,,,,,,,,
35,projectCreate,Bình thường,Xử lý đăng ký phải được tiến hành đúng trong table và field,Xử lý lưu DB,-,-,"Xử lý đăng ký phải được tiến hành đúng vào table projectDetail
※Chi tiết tham chiếu test case bên dưới",,,,,,,,,,,,
36,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,id,-,-,auto increment,,,,,,,,,,,,
37,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,projectId,-,-,project.id được vừa đc tạo,,,,,,,,,,,,
38,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,customerItemId,-,-,customerItemId,,,,,,,,,,,,
39,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,quantity,-,-,quantity (cho phép âm),,,,,,,,,,,,
40,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,unit,-,item.unit từ customerItem.customerItemId.itemId,-,item.unit,,,,,,,,,,,,
41,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,unitPrice,-,-,unitPrice,,,,,,,,,,,,
42,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,amount,-,-,quantity * unitPrice (cho phép âm),,,,,,,,,,,,
43,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,comment,-,-,comment,,,,,,,,,,,,
44,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,sort,-,-,sort (liên tục),,,,,,,,,,,,
45,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,createdAt,-,-,System datetime (JST),,,,,,,,,,,,
46,Bảng projectDetail,Bình thường,Giá trị lưu DB phải đúng,createdBy,-,-,user.id của login user,,,,,,,,,,,,
